Year,Site,FID,Weight,Length,AC,AGE,SexCon,Sex,Delts
2014,11,NA,369,262,3,NA,NA,NA,NA
2014,11,NA,340,263,3,NA,NA,NA,NA
2014,2,NA,255,266,3,NA,NA,NA,NA
2014,11,NA,369,266,3,NA,NA,NA,NA
2014,15,NA,312,266,3,NA,NA,NA,NA
2014,4,NA,255,268,3,NA,NA,NA,NA
2014,2,NA,255,269,3,NA,NA,NA,NA
2014,2,NA,312,269,3,NA,NA,NA,NA
2014,11,NA,340,269,3,NA,NA,NA,NA
2014,11,NA,312,269,3,NA,NA,NA,NA
2014,1,NA,340,270,3,NA,NA,NA,NA
2014,15,NA,312,270,3,NA,NA,NA,NA
2014,15,NA,369,273,3,NA,NA,NA,NA
2014,11,NA,283,274,3,NA,NA,NA,NA
2014,1,NA,340,275,3,NA,NA,NA,NA
2014,11,NA,397,275,3,NA,NA,NA,NA
2014,15,NA,340,275,3,NA,NA,NA,NA
2014,15,NA,312,275,3,NA,NA,NA,NA
2014,1,NA,312,276,3,NA,NA,NA,NA
2014,11,NA,340,276,3,NA,NA,NA,NA
2014,11,NA,312,278,3,NA,NA,NA,NA
2014,11,NA,369,279,3,NA,NA,NA,NA
2014,11,NA,340,279,3,NA,NA,NA,NA
2014,15,NA,340,280,3,NA,NA,NA,NA
2014,15,NA,340,280,3,NA,NA,NA,NA
2014,2,NA,340,281,3,NA,NA,NA,NA
2014,11,NA,340,283,3,NA,NA,NA,NA
2014,10,NA,369,284,3,NA,NA,NA,NA
2014,2,NA,340,285,3,NA,NA,NA,NA
2014,15,NA,340,285,3,NA,NA,NA,NA
2014,11,NA,397,291,3,NA,NA,NA,NA
2014,11,NA,340,292,3,NA,NA,NA,NA
2014,11,NA,397,293,3,NA,NA,NA,NA
2014,15,NA,312,293,3,NA,NA,NA,NA
2014,16,NA,340,293,3,NA,NA,NA,NA
2014,8,NA,369,295,3,NA,NA,NA,NA
2014,12,NA,454,296,3,NA,NA,NA,NA
2014,1,NA,454,298,3,NA,NA,NA,NA
2014,6,NA,340,299,3,NA,NA,NA,NA
2014,16,NA,511,299,3,NA,NA,NA,NA
2014,15,NA,454,300,3,NA,NA,NA,NA
2014,2,NA,511,301,3,NA,NA,NA,NA
2014,1,NA,397,305,3,NA,NA,NA,NA
2014,1,NA,397,306,3,NA,NA,NA,NA
2014,12,NA,511,309,3,NA,NA,NA,NA
2014,8,NA,425,310,3,NA,NA,NA,NA
2014,15,NA,340,310,3,NA,NA,NA,NA
2014,1,NA,454,313,3,NA,NA,NA,NA
2014,6,NA,425,313,3,NA,NA,NA,NA
2014,11,NA,397,314,3,NA,NA,NA,NA
2014,12,NA,454,314,3,NA,NA,NA,NA
2014,2,NA,539,317,3,NA,NA,NA,NA
2014,12,NA,539,319,3,NA,NA,NA,NA
2014,4,NA,567,321,3,NA,NA,NA,NA
2014,10,NA,539,321,3,NA,NA,NA,NA
2014,11,NA,567,323,3,NA,NA,NA,NA
2014,11,NA,539,324,3,NA,NA,NA,NA
2014,8,NA,425,329,3,NA,NA,NA,NA
2014,4,NA,567,331,3,NA,NA,NA,NA
2014,10,NA,567,333,3,NA,NA,NA,NA
2014,15,NA,482,335,3,NA,NA,NA,NA
2014,2,NA,539,337,3,NA,NA,NA,NA
2014,2,NA,567,338,3,NA,NA,NA,NA
2014,16,NA,709,340,3,NA,NA,NA,NA
2014,8,NA,624,341,3,NA,NA,NA,NA
2014,16,NA,652,341,3,NA,NA,NA,NA
2014,11,NA,596,342,3,NA,NA,NA,NA
2014,16,NA,681,342,3,NA,NA,NA,NA
2014,11,NA,596,343,3,NA,NA,NA,NA
2014,6,NA,567,344,3,NA,NA,NA,NA
2014,4,NA,567,345,3,NA,NA,NA,NA
2014,11,NA,596,345,3,NA,NA,NA,NA
2014,15,NA,511,345,3,NA,NA,NA,NA
2014,10,NA,681,348,3,NA,NA,NA,NA
2014,8,NA,567,349,3,NA,NA,NA,NA
2014,12,NA,652,349,3,NA,NA,NA,NA
2014,8,NA,539,350,3,NA,NA,NA,NA
2014,18,NA,709,351,3,NA,NA,NA,NA
2014,11,NA,652,352,3,NA,NA,NA,NA
2014,11,NA,624,352,3,NA,NA,NA,NA
2014,16,NA,596,352,3,NA,NA,NA,NA
2014,16,NA,681,354,3,NA,NA,NA,NA
2014,16,NA,794,354,3,NA,NA,NA,NA
2014,12,NA,766,355,3,NA,NA,NA,NA
2014,10,NA,681,356,3,NA,NA,NA,NA
2014,2,NA,681,361,3,NA,NA,NA,NA
2014,16,NA,709,362,3,NA,NA,NA,NA
2014,15,NA,681,363,3,NA,NA,NA,NA
2014,15,NA,681,363,3,NA,NA,NA,NA
2014,11,NA,879,364,3,NA,NA,NA,NA
2014,16,NA,709,364,3,NA,NA,NA,NA
2014,15,NA,766,369,3,NA,NA,NA,NA
2014,15,NA,681,370,3,NA,NA,NA,NA
2014,2,NA,709,371,3,NA,NA,NA,NA
2014,16,NA,794,373,3,NA,NA,NA,NA
2014,2,NA,851,375,3,NA,NA,NA,NA
2014,15,NA,681,375,3,NA,NA,NA,NA
2014,8,NA,851,384,3,NA,NA,NA,NA
2014,10,NA,794,384,3,NA,NA,NA,NA
2014,18,NA,737,384,3,NA,NA,NA,NA
2014,15,NA,851,386,3,NA,NA,NA,NA
2014,16,NA,879,395,3,NA,NA,NA,NA
2014,6,NA,851,397,3,NA,NA,NA,NA
2014,10,NA,1050,403,3,NA,NA,NA,NA
2014,15,NA,1078,405,3,NA,NA,NA,NA
2014,16,NA,1135,405,3,NA,NA,NA,NA
2014,2,NA,1191,407,3,NA,NA,NA,NA
2014,2,NA,1106,413,3,NA,NA,NA,NA
2014,11,NA,965,414,3,NA,NA,NA,NA
2014,16,NA,1135,415,3,NA,NA,NA,NA
2014,12,NA,1163,421,3,NA,NA,NA,NA
2014,18,NA,1191,435,3,NA,NA,NA,NA
2014,10,NA,1362,468,3,NA,NA,NA,NA
2014,10,NA,1532,479,3,NA,NA,NA,NA
