Month,Day,Year,FID,Site,Species,AC,AgeCap,Anu1,Anu2,Anu3,Anu4,Anu5,Anu6,Anu7,Anu8,Anu9,RadCap,LenCap,WTg,SEXCON,Sex,Prey Item,Tot Prey WTg,Prey Item B,Prey WT Ag,Prey WT Bg,Comments
6,29,2016,42,18,317,3,4,0.5244,0.7221,0.8409,0.9199,0.9377,NA,NA,NA,NA,0.9377,369,681,3,1,331,22.5,0,0,0,
6,29,2016,43,18,317,3,3,0.5318,0.746,0.8824,0.9218,NA,NA,NA,NA,NA,0.9218,313,516,8,2,0,0,0,0,0,
6,29,2016,44,18,317,3,4,0.4625,0.6354,0.75,0.8521,0.8693,NA,NA,NA,NA,0.8693,370,873,3,1,63,11,0,0,0,
6,29,2016,45,18,317,3,2,0.3948,0.595,0.63,NA,NA,NA,NA,NA,NA,0.63,314,596,8,2,314,23.5,999,22,1.5,
6,29,2016,46,18,317,3,2,0.6249,0.7715,0.7936,NA,NA,NA,NA,NA,NA,0.7936,316,603,8,2,314,22,0,0,0,
6,30,2016,47,10,317,3,5,0.535,0.7593,0.9283,1.0517,1.1488,1.18,NA,NA,NA,1.18,330,598,3,1,999,4,0,0,0,
6,30,2016,48,10,317,3,4,0.567,0.8432,1.0086,1.1517,1.1816,NA,NA,NA,NA,1.1816,359,840,8,2,999,7,0,0,0,
6,30,2016,49,8,317,3,7,0.4075,0.5761,0.7038,0.8226,0.9163,1.0029,1.0592,1.089,NA,1.0592,362,767,3,1,Crayfish,5,0,0,0,
6,30,2016,50,8,317,3,5,0.4745,0.6038,0.7148,0.7923,0.869,0.9137,NA,NA,NA,0.9137,351,721,3,1,999,13.5,0,0,0,
6,30,2016,51,8,317,3,5,0.5073,0.682,0.7996,0.8789,0.9662,0.987,NA,NA,NA,0.987,344,630,3,1,Crayfish,5,0,0,0,
6,30,2016,52,8,317,3,3,0.43,0.7127,0.8633,0.8976,NA,NA,NA,NA,NA,0.8976,294,481,3,1,999,3,0,0,0,
6,30,2016,53,8,317,3,2,0.5558,0.8015,0.8746,NA,NA,NA,NA,NA,NA,0.8746,277,328,8,2,Mayflies,0,0,0,0,
6,30,2016,54,8,317,3,2,0.5382,0.814,0.8326,NA,NA,NA,NA,NA,NA,0.8326,288,409,3,1,999,5,0,0,0,
6,30,2016,55,8,317,3,2,0.5196,0.7003,0.747,NA,NA,NA,NA,NA,NA,0.747,460,306,8,2,999,13,0,0,0,Lure Found
6,30,2016,56,8,317,3,2,0.4108,0.6524,0.6769,NA,NA,NA,NA,NA,NA,0.6769,260,259,8,2,Mayflies,0,0,0,0,
6,30,2016,57,8,317,3,2,0.64,0.8518,0.884,NA,NA,NA,NA,NA,NA,0.884,276,327,8,2,Mussel,2.5,0,0,0,
6,30,2016,58,8,317,3,2,0.5507,0.72,0.7589,NA,NA,NA,NA,NA,NA,0.7589,254,213,3,1,0,0,0,0,0,
6,30,2016,59,8,317,3,5,0.516,0.702,0.8113,0.8966,0.9742,0.9915,NA,NA,NA,0.9915,354,780,3,1,Crayfish,2,0,0,0,
6,30,2016,60,8,317,3,4,0.3636,0.5154,0.6368,0.7001,0.7376,NA,NA,NA,NA,0.7376,338,666,8,2,0,0,0,0,0,
6,30,2016,61,8,317,3,3,0.5184,0.6767,0.8012,0.8311,NA,NA,NA,NA,NA,0.8311,319,591,8,2,Crayfish,11,0,0,0,
6,30,2016,62,8,317,3,2,0.3993,0.5528,0.5836,NA,NA,NA,NA,NA,NA,0.5836,265,269,8,2,999,1.5,0,0,0,
6,30,2016,63,8,317,3,2,0.4116,0.6743,0.7299,NA,NA,NA,NA,NA,NA,0.7299,248,246,8,2,999,1.5,0,0,0,
6,30,2016,64,8,317,3,2,0.4208,0.6154,0.6582,NA,NA,NA,NA,NA,NA,0.6582,256,250,8,2,0,0,0,0,0,
6,30,2016,65,8,317,3,2,0.4404,0.6931,0.7615,NA,NA,NA,NA,NA,NA,0.7615,245,238,8,2,999,1,0,0,0,
6,30,2016,66,8,317,3,2,0.4991,0.6755,0.6905,NA,NA,NA,NA,NA,NA,0.6905,249,231,3,1,0,0,0,0,0,
6,30,2016,67,8,317,3,2,0.4983,0.7402,0.784,NA,NA,NA,NA,NA,NA,0.784,254,308,3,1,Crayfish,8.5,0,0,0,
6,30,2016,68,8,317,3,2,0.6184,0.879,0.9348,NA,NA,NA,NA,NA,NA,0.9348,261,306,8,2,999,9,0,0,0,
6,30,2016,69,8,317,3,1,0.3807,0.4511,NA,NA,NA,NA,NA,NA,NA,0.4511,154,54,6,2,0,0,0,0,0,
6,30,2016,70,8,317,3,1,0.5013,0.596,NA,NA,NA,NA,NA,NA,NA,0.596,222,171,6,2,0,0,0,0,0,
6,30,2016,71,8,317,3,2,0.4736,0.6579,0.7008,NA,NA,NA,NA,NA,NA,0.7008,219,172,8,2,999,2.5,0,0,0,
6,30,2016,72,8,317,3,1,0.4612,0.5503,NA,NA,NA,NA,NA,NA,NA,0.5503,189,102,1,1,0,0,0,0,0,
6,30,2016,73,8,317,3,1,0.4565,0.5103,NA,NA,NA,NA,NA,NA,NA,0.5103,194,108,6,2,999,1.5,0,0,0,
6,30,2016,74,8,317,3,1,0.4804,0.5357,NA,NA,NA,NA,NA,NA,NA,0.5357,172,76,6,2,999,0.5,0,0,0,
6,30,2016,75,8,317,3,1,0.5476,0.6079,NA,NA,NA,NA,NA,NA,NA,0.6079,174,83,6,2,999,0,0,0,0,
6,30,2016,76,8,317,3,1,0.4597,0.523,NA,NA,NA,NA,NA,NA,NA,0.523,174,85,6,2,999,0,0,0,0,
6,30,2016,77,8,317,3,1,0.4638,0.5459,NA,NA,NA,NA,NA,NA,NA,0.5459,183,95,6,2,0,0,0,0,0,
6,30,2016,78,8,317,3,1,0.4794,0.5623,NA,NA,NA,NA,NA,NA,NA,0.5623,182,94,6,2,999,1.5,0,0,0,
6,30,2016,79,8,317,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,71,6,2,999,0,0,0,0,
6,30,2016,80,8,317,3,1,0.4007,0.4314,NA,NA,NA,NA,NA,NA,NA,0.4314,165,69,6,2,999,0,0,0,0,
6,30,2016,81,8,317,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,74,1,1,999,3.5,0,0,0,
6,30,2016,82,8,317,3,1,0.4523,0.4754,NA,NA,NA,NA,NA,NA,NA,0.4754,146,48,1,1,0,0,0,0,0,
6,30,2016,83,8,317,3,1,0.3809,0.4528,NA,NA,NA,NA,NA,NA,NA,0.4528,143,42,6,2,0,0,0,0,0,
6,30,2016,84,8,317,3,1,0.5052,0.5745,NA,NA,NA,NA,NA,NA,NA,0.5745,154,57,6,2,999,0.5,0,0,0,
6,30,2016,85,8,317,3,1,0.494,0.5862,NA,NA,NA,NA,NA,NA,NA,0.5862,135,40,6,2,999,0.5,0,0,0,
6,30,2016,86,8,317,3,1,0.4054,0.4589,NA,NA,NA,NA,NA,NA,NA,0.4589,132,34,1,1,0,0,0,0,0,
